id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year,cluster hierarchical complete,cluster hierarchical average,cluster hierarchical single
7027119317,40936370@N00,45.830055,4.834585,"portrait,sculpture,streetart,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,symbol,roman,contemporaryart,secret,911,apocalypse,taz,peinture,hoarding,container,novel,writer,artbrut,affichage,ddc,sanctuary,panneau,cyberpunk,landart,alchemy,modernsculpture,prophecy,999,vanitas,revelation,sanctuaire,écrivain,dadaisme,andrémalraux,artprice,salamanderspirit,organmuseum,saintromainaumontdor,demeureduchaos,thierryehrmann,alchimie,muséedartcontemporain,artsingulier,lespoir,laconditionhumaine,prophétie,abodeofchaos,facteurcheval,palaisideal,postapocalyptique,maisondartiste,artistshouses,lemuséeimaginaire,sculpturemoderne,groupeserveur,lespritdelasalamandre,lesvoixdusilence,servergroup,lavoieroyale",André Malraux et son Musée Imaginaire préfigure la Demeure du Chaos,36,1,3,2,2011,0,3,0
5647666335,42054975@N03,45.762407,4.822332,"lyon,basiliquenotredamedefourviere,里昂,里昂富維耶聖母院",P1020032,6,14,22,4,2011,5,4,0
10923983293,40936370@N00,45.83741,4.826163,"portrait,sculpture,streetart,france,art,mystery,museum,architecture,painting,graffiti,book,amazon,ruins,rawart,outsiderart,chaos,symbol,contemporaryart,secret,911,apocalypse,taz,peinture,container,freemasonry,artbrut,livre,ddc,sanctuary,cyberpunk,landart,alchemy,hiram,modernsculpture,prophecy,999,vanitas,revelation,sanctuaire,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,marcdelpiano,ehrmann,demeureduchaos,thierryehrmann,alchimie,artsingulier,prophétie,abodeofchaos,facteurcheval,palaisideal,kurtehrmann,postapocalyptique,maisondartiste,artistshouses,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,opusix,audreysavoye",thierry Ehrmann : Demeure du Chaos / Abode of Chaos Opus IX (1999-2014) HD,20,12,18,11,2013,0,3,0
18985832121,133428854@N08,45.756589,4.826474,"city,france,río,river,frankreich,europa,europe,lyon,fiume,ciudad,stadt,frankrijk,fluss,francia,ville,citta,fleuve,passerelle,saône",Lyon,47,11,14,1,2011,5,4,0
5190284588,55901744@N06,45.767579,4.833555,"light,france,lyon,lumiere,fetedeslumieres",IMG_6631,45,22,8,12,2007,5,4,0
37545520270,23723681@N05,45.751666,4.843333,,20170924_151706,17,15,24,9,2017,5,4,0
27953757042,23723681@N05,45.759255,4.928083,,20151218_110657,6,11,18,12,2015,1,0,0
26140853240,15917364@N02,45.764527,4.858292,"architecture,lyon,immeuble,rhone,style1930,brottaux",Lyon - Immeuble 1930 aux Brottaux,43,22,13,4,2016,5,4,0
24957937412,94316307@N02,45.762261,4.831327,,,27,15,15,2,2016,5,4,0
6237445371,55037150@N03,45.783821,4.860366,"lyon,artyfarty,nuitssonores,transbordeur,gonjasufi,alohafrom,bricerobert",Aloha From_Gonjasufi_25_05_2011 HD_www.b-rob.com_20,23,14,10,7,2011,5,4,0
8158957504,84554176@N00,45.723993,4.832482,"france,ol,football,frankreich,lyon,stadium,rhône,stade,frankrig,gerland,frankrike,olympiquelyonnais,rhônealpes,ligue1,vafc,stadegerland,valenciennesfc",2012-09-01,9,18,1,9,2012,5,4,0
